tile_id,benchmark_id,method,n_detected,status
IMG_23_TILE_003,BASELINE_CLASSICAL,felzenszwalb,7,ok
IMG_23_TILE_004,BASELINE_CLASSICAL,felzenszwalb,30,ok
IMG_23_TILE_005,BASELINE_CLASSICAL,felzenszwalb,33,ok
IMG_23_TILE_006,BASELINE_CLASSICAL,felzenszwalb,11,ok
IMG_23_TILE_007,BASELINE_CLASSICAL,felzenszwalb,13,ok
IMG_23_TILE_008,BASELINE_CLASSICAL,felzenszwalb,36,ok
IMG_23_TILE_009,BASELINE_CLASSICAL,felzenszwalb,37,ok
IMG_23_TILE_010,BASELINE_CLASSICAL,felzenszwalb,27,ok
IMG_23_TILE_011,BASELINE_CLASSICAL,felzenszwalb,40,ok
IMG_25_TILE_001,BASELINE_CLASSICAL,felzenszwalb,14,ok
IMG_25_TILE_002,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_25_TILE_003,BASELINE_CLASSICAL,felzenszwalb,16,ok
IMG_26_TILE_001,BASELINE_CLASSICAL,felzenszwalb,50,ok
IMG_26_TILE_002,BASELINE_CLASSICAL,felzenszwalb,29,ok
IMG_26_TILE_003,BASELINE_CLASSICAL,felzenszwalb,44,ok
